disease,treatment
PAS 150,"Treatment of XDR-TB (Category V)
All XDR-TB patients who are considered for category V regimen, will be screened by the
DOTS-Plus committee and if found suitable will be referred to a thoracic surgeon for
consideration of surgery to improve the treatment outcomes. Identification must be done for
the site (tertiary centres) with such surgical facilities.
XDR Regimen (Table 14)
6-12 months Cm, PAS, Mfx, High dose‐H, Cfz, Lzd, Amx/Clv
18 months PAS, Mfx, High dose‐H, Cfz, Lzd, Amx/Clv
The Category V treatment regimen consists of 7 drugs, with 2 reserve/substitute drugs.
The dosage of the drugs would vary as per the weight of the patient (≤ 45Kg or > 45Kg).
-
All drugs are to be given on a daily basis. Injections of capreomycin will be given for 6
days/week (not on Sundays).
37
Common Conditions
All morning doses are to be supervised by the DOT Provider except on Sundays. After
taking DOT for morning doses on Saturday, next day medicines would be given to the
-
patient to be taken at home on Sunday.
Empty blisters of medicines taken unsupervised in evening and on Sundays are to be
collected by DOT Provider.
-
The change from IP to CP will be done only after achievement of culture conversion i.e.
2 consecutive negative cultures taken at least one month apart. In case of delay in culture
-
conversion, the IP can be extended from 6 months up to a maximum of 12 months. In
case of extension, the DOTS – Plus site Committee, which will be responsible for
initiating and monitoring the Category V regimen, can decide on administering
capreomycin injection intermittently (3 times/week) for the months 7 to 12.
Table14. Drugs and Dosages for management of XDR TB
Dosage/day
Drugs
<45 Kgs > 45 Kgs
Inj. Capreomycin (Cm) 750 mg 1000 mg
PAS 10 gm 12 gm
Moxifloxacin (Mfx) 400 mg 400 mg
High dose INH (High dose-H) 600 mg 900 mg
Clofazimine (Cfz) 200 mg 200 mg
Linezolid (Lzd) 600 mg 600 mg
Amoxiclav (Amx/Clv) 875/125 mg BD 875/125 mg BD
Pyridoxine 100 mg 100 mg
Reserve/Substitute drugs
Clarithromycin (Clr) 500 mg BD 500 mg BD
Thiacetazone (Thz)# 150 mg 150 mg
# Depending on availability, not to be given to HIV positive cases
The reserve/substitute drugs would be used in the following conditions:
In case the patient was on PAS in Category IV, PAS will be replaced with one of
the reserve drugs in the Category V regimen
-
If the patient is unable to tolerate one or more of the drugs
If the patient is found to be resistant to capreomycin
-
 HIV co-infection with TB
-
TB patients living with HIV should receive the same duration of TB treatment with
daily regimen as HIV negative TB patients.
-
Antiretroviral therapy (ART) must be offered to all patients with HIV and TB as well
as drug-resistant TB requiring second-line anti-TB drugs, irrespective of CD4 cell-
-
count, as early as possible (within the first 8 weeks) following initiation of anti-TB
treatment. Appropriate arrangements for access to antiretroviral drugs should be made
38
Common Conditions
for patients. However, initiation of treatment for TB should not be delayed. Patients
with TB and HIV infection should also receive co-trimoxazole as prophylaxis for
other infections.
People living with HIV should be screened for TB using four symptom complex
(current cough or, fever or weight loss or night sweats) at HIV care settings and those
-
with any of these symptoms should be evaluated for ruling out active TB. Such
patients in whom active TB is ruled out, Isoniazid Preventive Therapy (IPT) in the
dosage of10 mg/Kg body weight should be offered to them for 6 months.
 Adherence
Supervision and support should be individualized.
Ensuring Adherence in M/XDR TB patients: Patient support systems, including direct
-
observation of treatment, are required to ensure adherence. It should be ensured that
-
the patient consumes all the dosages of the drugs.
Trained treatment supporter for treatment adherence: Such measures may include
identification and training of a treatment supporter (for TB and, if appropriate, for
-
HIV, diabetes mellitus etc.) who is acceptable, accessible and accountable to the
patient and to the health system.
Information Communication Technology to promote treatment literacy and
adherence: Optimal use of Information Communication Technology (ICT) should be
-
done to promote treatment literacy and adherence
Other important points to remember
 Public Health Responsibility- Any practitioner treating a TB patient is assuming an
important public health responsibility to prevent ongoing transmission of the infection
and the development of drug resistance. To fulfill this responsibility the practitioner must
not only prescribe an appropriate regimen, but also utilize local public health services /
community health services, and other agencies including NGOs when necessary, to assess
the adherence of the patient and to address poor adherence when it occurs.
 Maintain Records for all TB patients: A written record of all medications given,
microbiological response and adverse reactions should be maintained for all patients.
Every patient’s clinical outcome should be recorded in the case register and available for
public health monitoring.
 Notification of TB Cases: All health establishments must report all TB cases and their
treatment outcomes to public health authorities (District Nodal Officer for Notification).
Proper feedback need to be ensured to all health care providers who"
EPILEPSY,"treatment
 Treatment of underlying conditions
- Metabolic imbalances such as abnormal serum electrolytes and glucose, medications
(theophylline), illicit drug use (e.g., cocaine), structural CNS lesion such as a brain
tumor, vascular malformation, or brain abscess.
43
Common Conditions
 Avoidance of precipitating factors like sleep deprivation, alcohol, bright light, etc.
 Antiepileptic drug therapy mainstay of treatment for most patients with epilepsy.
Table 16.Selection of antiepileptic drugs according to classification of epilepsy
Atypical absence,
Generalized tonic Typical absence
Focal seizures myoclonic and atonic
clonic seizures seizures
seizures
First line drugs
Valproic acid Lamotrigine Valproic acid Valproic acid
Lamotrigine Capbamazepine Ethosuximide Lamotrigine
Topiramate Oxcarbazepine Topiramate
Phenytoin
Levetiracetam
Alternatives
Zonisamide Topiramate Lamotrigine Clonazepam
Phenytoin Zonisamide Clonazepam Felbamate
Capbamazepine Valproic acid
Oxcarbazepine Tiagabine
Phenobarbitone Gabapentin
Primidone Lacosamide
Felbamate Phenobarbitone
Primidone
Felbamate
Pregnancy
 Most women with epilepsy who become pregnant will have an uncomplicated gestation
and deliver a normal baby. Since the potential harm of uncontrolled convulsive seizures
on the mother and fetus is considered greater than the teratogenic effects of antiepileptic
drugs, it is currently recommended that pregnant women be maintained on effective drug
therapy. Patients should take folic acid (1–4 mg/d), to prevent development of neural tube
defects.
Contraception
 Drugs such as carbamazepine, phenytoin, phenobarbital, and topiramate can significantly
decrease the efficacy of oral contraceptives via enzyme induction and other mechanisms.
Patients should be advised to consider alternative forms of contraception.
44
Common Conditions"
STATUS EPILEPTICUS,"treatment plan for an adult with status epilepticus is as in Figure 10.
Figure 10. Treatment algorithm for generalized tonic clonic status epilepticus in adults
45
Common Conditions"
URINARY TRACT INFECTION,"treatment
Plenty of fluids orally, maintain hygiene
Pharmacological treatment
 Tab.ciprofloxacin 500 mg twice a day for five days.
 In resistance cases 3rd generation cephalosporins (cefixime) followed by antibiotics as per
culture and sensitivity report.
 If fever then Tab. paracetamol 500 mgthrice a day for three days.
46
Chapter 3"
CARDIOPULMONARY RESUSCITATION,"management of these is essential to prevent CPA, the outcome of which is poor.
Diagnosis of cardiopulmonary and cardiac arrest
1. Absence of pulse in major arteries (carotid or femoral in older children and
femoral or brachial in infants as carotid is difficult to palpate due to short neck).
2. Absence of heart sounds on auscultation.
3. Asystole /ventricular fibrillation on ECG.
Respiratory arrest
Absence of respiration on examination (absent chest movements), listening (absent air flow on
bringing ears in front of mouth) and feeling (absent air flow on keeping hands in front of mouth
or nose).
Levels of CPR
Basic life support (BLS): The elements of CPR are provided without additional equipment.
Skill and speed are most essential.
Advanced cardiac life support (ACLS): Use of equipment and drugs for assisting ventilation
orcirculation.
Primary survey to assess the patient's condition:
 Tap the patient on the shoulder and ask, ""Are you all right?""
 If the patient does not respond, call for help.
 Give 2 minutes (5 cycles) of CPR before leaving patient to call for help.
 Check for pulse or any other signs of life; begin CPR, 30 compressions to 2 respirations
(push hard and fast--100/minute and release chest completely).
 Open airway and check for breathing. Give 2 breaths that make the chest rise.
 Start an IV line.
 Begin oxygen.
 Attach a monitor
 Intravenous / Intra osseous (IO) access is a priority over advanced airway management. If an
advanced airway is placed, change to continuous chest compressions without pauses for
breaths. Give 8 to 10 breaths per minute and check rhythm every 2 minutes.
47
Emergency Conditions"
ANAPHYLAXIS,"treatment depends on
prompt diagnosis and rapid supplementation of appropriate therapy.
Clinical criteria for diagnosis
Anaphylaxis is highly likely when any one of the following three criteria is fulfilled:
1. Acute onset of an illness (minutes to several hours) with involvement of the skin, mucosal
tissue, or both (e.g., generalized urticaria, itching or flushing, swollen lips/tongue/uvula)
with one of the following,
 Respiratory compromise (e.g., dyspnoea, wheeze-bronchospasm, stridor, reduced
peak expiratoryflow(PEF), hypoxemia)
 Reduced blood pressure or associated symptoms of end-organ dysfunction (e.g.
hypotonia, collapse, syncope, incontinence)
 Involvement of the skin-mucosal tissue
 Persistent gastrointestinal symptoms (e.g., cramping abdominal pain, vomiting) or
2. Reduced blood pressure after exposure to known allergen,
 Infants and children- low systolic blood pressure (age-specific) or greater than 30%
decrease in systolic blood pressure
 Adults- systolic blood pressure of less than 90 mm Hg or greater than 30% decrease
from baseline
52
Emergency Conditions
Salient features
Skin, subcutaneous tissue, and mucosa
 Flushing, itching, urticaria (hives), angioedema, morbilliform rash, piloerection
 Periorbital itching, erythema and edema, conjunctival erythema, tearing
 Itching of lips, tongue, palate, and external auditory canals; and swelling of lips, tongue,
and uvula
 Itching of genitalia, palms, and soles
Respiratory
 Nasal itching, congestion, rhinorrhea, sneezing
 Throat itching and tightness, dysphonia, hoarseness, stridor, dry staccato cough
 Lower airways: increased respiratory rate, shortness of breath, chest tightness, deep cough,
wheezing/bronchospasm, decreased peak expiratory flow
 Cyanosis, respiratory arrest
Gastrointestinal
 Abdominal pain, nausea, vomiting (stringy mucus), diarrhea, dysphagia
Cardiovascular system
 Chest pain
 Tachycardia, bradycardia (less common), other arrhythmias, palpitations
 Hypotension, feeling faint, urinary or fecal incontinence, shock
 Cardiac arrest
Central nervous system
 Aura of impending doom, uneasiness (in infants and children, sudden behavioral change,
e.g. irritability, cessation of play, clinging to parent); throbbing
 Headache (pre-epinephrine), altered mental status, dizziness, confusion, tunnel vision
Non pharmacological treatment
 Remove exposure to trigger if possible (discontinue intravenous diagnostic or therapeutic
agent that seems to triggering symptoms). Place the patient supine and elevate the
extremities.
 Observe vital signs frequently and if possible, monitor electrocardiogram and pulse
oximetry.
 For severe anaphylaxis with shock, initial management should be directed at the ABC of
resuscitation, namely maintenance of adequate airway - suction, breathing, and
circulation. If working alone, call for assistance.
Pharmacological treatment
 Inj. adrenaline 1:1000 (1mg/ml), 0.01 ml/kg (maximum 0.3 ml in children and 0.5 ml in
adults) IM (mid anterolateral aspect of thigh). If necessary, dose can be repeated every 15
minutes.
53
Emergency Conditions
 If the anaphylaxis is due to an allergen extract or to a hymenoptera sting into an
extremity, half the dose of adrenaline can be infiltrated locally, subcutaneously after
dilution with 2 ml saline.
 High flow oxygen (4-6 lit/min by face mask or oropharyngeal airway).
 Establish two wide bore intravenous lines. Commence rapid fluid resuscitation with Inj.
NS (0.9% normal saline) at rate of 5-10 ml/kg in 5 to 10 minutes. One to two litres of
fluid bolus can be given.
 Intubate and commence intermittent positive pressure ventilation if severe laryngeal
obstruction, bronchospasm, circulatory shock or coma.
 If no response to the initial intramuscular dose of adrenaline, administer adrenaline 5
mcg/kg slowly in to the intravenous line. Repeat at 5 minutes intervals depending on
response. If the patient remains in shock, start an adrenaline infusion (preferably via a
central venous line), commencing at 0.1 mcg/kg/min in children and 0.2 mcg/kg/min in
adults with titration required to restore blood pressure. Large doses of adrenaline may
be needed.
 Commence cardiopulmonary resuscitation, if necessary.
 If the only manifestation of anaphylaxis is urticaria or angioedema, initial IM dose of
adrenaline should be given in addition to antagonists. If no other manifestation, patient
can be kept under observation for at least 12 hours and then discharged.
Additional measures
 IV infusion of chlorpheniramine 10 mg (adult), 2.5-5 mg (child) or diphenhydramine 25-
50 mg (adult) (1 mg/kg, maximum 50 mg [child]).
 Inj. salbutamol solution, 2.5 to 5 mg/3 ml given by nebulizer and face mask.
 IV hydrocortisone infusion 200 mg (adult), maximum 100 mg (child); or
methylprednisolone 50-100 mg (adult); 1 mg/kg, maximum 50 mg (child).
Supportive treatment
All patients with severe anaphylactic reaction must be hospitalized. Patients who remain
clinically unstable after initial resuscitation should be admitted to intensive care unit (ICU).
Patients respondingto the initial treatment should be observed for possible late reaction.
Patient education
To check and look for the cause (food, drugs etc.) and to avoid it in future"
ACUTE AIRWAY OBSTRUCTION,"treatment.
Emergency treatment
 Head extension with lower jaw thrust forward
 Suctioning for clearing secretions
54
Emergency Conditions
 Ventilatory mask with 100% oxygen
 Endotracheal intubation or tracheostomy
In stable patient
 Plain X-ray neck
 Fibre optic endoscopy / micro-laryngoscopy / bronchoscopy to find out the cause
Treatment guidelines
Assess Severity of airway
Portableradiographic ultrasonography
ECGmonitoringandsupplemental oxygen
Pulse oximetry, blood pressure
Cricothyrotomy Tracheostomy
Emergency intubation"
STRIDOR,"treatment
 Humidified oxygen
 Inj. hydrocortisone 100 mg IVstat and can be repeated as required.
 Inj. ampicillin 500mg QID IV/for5-7 days
 Inj. adrenaline 0.2-0.5mg subcutaneously if necessary.
55
Emergency Conditions"
SHOCK,"treatment it may-lead to decompensated shock.
 Decompensated shock - There is fall in blood pressure and cardiac output. Features of
peripheral poor perfusion are compounded with manifestations of vital organ impairment.
Patient may have alteration of mentation (impaired cerebral perfusion), oliguria (renal
hypoperfusion) and myocardial ischaemia (coronary flow impairment). Patient has
acrocyanosis, cold and damp extremities and a pale look. If untreated, progress to
irreversible state of shock.
 Irreversible shock is a term applied to the clinical situation in which even
haemodynamic correction does not halt the progressive organ failure.
56
Emergency Conditions
Salient features
 Tachycardia, blood pressure may be normal or elevated due to compensatory
mechanisms, later falls as cardiovascular compensation fails. Neck veins may be
distended or flattened, depending on the etiology of shock. Decreased coronary
perfusion pressures can lead to ischemia, decreased ventricular compliance, and
increased left ventricular diastolic pressure and pulmonary edema.
 Tachypnea, increased minute ventilation, and increased dead space are common.
Bronchospasm, hypocapnia with progression to respiratory failure, and adult
respiratory distress syndrome can be seen.
 Skin pale, dusky, clammy skin with cyanosis, sweating, altered temperature, and
decreased capillary refill, oliguria.
Treatment
 Start oxygen 4-6 L/min
 Airway control, endotracheal intubation
 Adequate venous access. Large-bore peripheral intravenous catheters for adequate fluid
resuscitation. Central venous access may be necessary for monitoring and employing
pulmonary artery catheters, venous pacemakers, and long-term vasopressor therapy.
 Volume replacement. Isotonic, intravenous crystalloid fluids (0.9% NaCl, Ringer’s
lactate) are preferred for the initial resuscitation phase. Initial bolus volume is 20 to 40
ml/kg over 10 to 20 min (rapid infusion). Colloids (dextran, hetastarch, etc.) can be used
till blood is available.
 Blood is the ideal resuscitative fluid for hemorrhagic shock or in the presence of
significant anemia. Fully cross-matched blood is preferred, but if more rapid intervention
is required, type specific or type O negative blood may be employed. The decision to use
platelets or fresh frozen plasma (FFP) should be based on evidence of impaired
hemostasis and on frequent monitoring of coagulation parameters. Platelets are generally
given if there is ongoing hemorrhage and the platelet count is 50,000 or less; FFP is
indicated if the prothrombin time is prolonged more than 1.5 times.
 Vasopressors should be used if there is persistent hypotension after adequate volume
resuscitation. Inj. dobutamine 2.0 to 20.0 µg/kg/min for systolic BP over 100 mmHg,
dopamine 2.5 to 20.0 µg/kg/min for systolic BP 70 to 100 mmHg, and Inj. norepinephrine
0.5 to 30.0 µg/min for systolic BP under 70 mmHg.
 Acidosis should be treated with adequate ventilation and fluid resuscitation. Use of
sodium bicarbonate (1 meq/kg) is controversial. If it is used, it is given only in the setting
of severe acidosis refractory to ventilation and fluid resuscitation.
 Early surgical or medical consultation for admission or transfer as indicated.
57
Emergency Conditions
Monitoring
Special care in ICU should be taken by careful and continuous monitoring of BP, pulse rate
and respiratory rate, urine output and mental status frequently. Sedated patients should be
allowed to awaken (""drug holiday"") daily to assess their neurologic status and to shorten
duration of ventilator support.
Management guidelines for common causes of shock
Hemorrhagic Shock
 Ensure adequate ventilation/oxygenation
 Provide immediate control of hemorrhage (e.g., traction for long bone fractures, direct
pressure)
 Initiate judicious infusion of isotonic crystalloid solution (10–20 ml/kg) or colloid
solution
 With evidence of poor organ perfusion and 30-minute anticipated delay to hemorrhage
control, begin packed red bloodcell (PRBC) infusion (5–10 ml/kg)
 Treat coincident dysrhythmias (e.g., atrial fibrillation with synchronized cardioversion)
Cardiogenic Shock
 Ameliorate increased work of breathing; provide oxygen and positive end-expiratory
pressure (PEEP) for pulmonaryedema
 Begin vasopressor or inotropic support; Inj. norepinephine (0.5 µg/min) and Inj.
dobutamine (5 µg/kg/min)
 Seek to reverse the insult (e.g., initiate thrombolysis, arrange percutaneous transluminal
angioplasty)
 Consider intra-aortic balloon pump counterpulsation for refractory shock
Septic Shock
 Ensure adequate oxygenation
 Administer 20 ml/kg of crystalloid (0.9% normal saline or RL) or 5 ml/kg of colloid
(hemaccel or hetastarch), and titrate infusion to adequate central venous pressure and
urine output
 Begin antimicrobial therapy; attempt surgical drainage or débridement
 Begin packed RBC infusion for hemoglobin < 8 g/dL
 If volume restoration fails to improve organ perfusion, begin vasopressor support; initial
choice includes dopamine infusion at 5–15 µg/kg/min"
FLUIDANDELECTROLYTE IMBALANCE AND REPLACEMENT (IN ADULTS),"Treatment
The first principle is to restore circulating volume through infusion of intravenous fluids.
Once this is satisfactorily achieved, disturbances in electrolytes and acid-base balance if
present need to be rectified. Various fluids used for volume replacement are given below:
Replacement fluids
 Replacement fluids are used to replace abnormal loss of blood, plasma or other
extracellular fluids as first line treatment for hypovolemia in:
- Patients with established hypovolemia e.g. haemorrhagic shock.
- Maintenance of normovolaemia in patients with ongoing fluid losses e.g. surgical
blood loss.
 Intravenous replacement fluids are the first line of treatment for hypovolemia.
 Crystalloid maintenance fluids, which contain dextrose, are not suitable for use as
replacement fluids. However, crystalloid solutions with a similar concentration of
sodium to plasma (normal saline or balanced salt) solutions (Ringer's lactate or
Hartmann's solutions) are effective as replacement fluids. These should be available in
all hospitals where intravenous replacement fluids are used. Crystalloids should be
infused in a volume at least three times the volume lost in order to correct hypovolemia.
 All colloid solutions (albumins, dextran, gelatins and hydroxyethyl starch solutions) are
replacement fluids. However, they have not been shown to be superior to crystalloids in
resuscitation. Colloid solutions should be infused in a volume equal to the blood
volume deficit.
 Plasma should never be used as a replacement fluid.
 Plain water should never be infused intravenously as it can cause haemolysis.
59
Emergency Conditions
 In addition to the intravenous route, the intraosseous, oral, rectal or subcutaneous routes
can be used for the administration of fluids, blood and certain drugs. However, with the
exception of intraosseous route, other routes are generally unsuitable in severely
hypovolemic patients.
 Rectal fluids are administered through a plastic or rubber enema tube which is inserted
into the rectum and connected to a bag or bottle of fluid. A safe and effective solution
for a rectal rehydration is 1 liter of clean drinking water with teaspoon of table salt.
 Subcutaneous fluids can be used when other route of administration of fluids are
unavailable. A cannula or needle is inserted into the subcutaneous tissue (the abdominal
wall is a preferred site) and sterile fluids are administered in a conventional manner. Do
not give dextrose-containing solutions subcutaneously as they can cause sloughing of
tissues.
 Oral and nasogastric fluids: Oral rehydration can often be used in mildly hypovolemic
patients if the oral route is not contraindicated. Do not use if:
- The patient is unconscious.
- The patient has gastrointestinal lesions or reduced gut motility e.g. obstruction.
- General anaesthesia and surgery is planned imminently.
WHO/UNICEF formula for oral rehydration fluid:
Dissolve in one litre of drinkable water
Sodium chloride 2.6 g/L
Trisodium citrate, dihydrate 2.9 g/L
Potassium chloride 1.5 g/L
Glucose anhydrous 13.5 g/L
Resulting concentrations
Na 75 mmol/L, CI 65 mmol/L, K 20 mmol/L, Glucose anhydrous 75 mmol/ L, Citrate 10
mmol/L, total osmolarity 245 mmol/L.
Maintenance fluids
Maintenance fluids are used to replace the normal physiological loss that occurs through skin,
lung, faeces and urine. Since a considerable proportion of the loss is water, maintenance
fluids are mainly composed of water in the form of a dextrose solution. Some electrolytes
may also be included in these solutions.
Before giving any intravenous infusion:
 Check that the seal of the infusion fluid bottle or bag is not broken.
 Check the expiry date.
 Check that the solution is clear and free from visible particles.
II. Volume excess
Volume excess is often iatrogenic when the fluid intake has consistently exceeded the
output. Excessive intravenous infusions of saline and blood transfusions are important
60
Emergency Conditions
causes of hypervolemia. Renal insufficiency, congestive heart failure, liver disease and
other causes of sodium retention, or excessive sodium administration can all produce
increase in extracellular fluid content and hypervolemia.
Salient features
 Oedema, ascites, pleural effusion, neck veins full, pulmonary congestion,
hyperdynamic circulation with tachycardia, a warm skin, and a bounding pulse.
 Increase in the systolic pressure and pulse pressure.
 Central venous Pressure (CVP) > 12 mmHg, Pulmonary Capillary Wedge Pressure
(PCWP) >20 mmHg in the presence of pulmonary oedema.
Treatment
In moderate volume excess, salt restriction, restriction of fluid intake and the use of
frusemide as a diuretic will solve the problem. Fulminant pulmonary oedema secondary to
over hydration from over transfusion of blood or fluids is more appropriately dealt with by
phlebotomy in stages so that pulmonary capillary wedge pressure is reduced below 15 mm
Hg. Rarely ultrafiltration (dialysis) may be required.
References
1. Anaesthesia at the District Hospital. In: World Health Organization in collaboration with the World
Federation of Societies of Anesthesiologists, Geneva, 2nd Edition, 2000, WHO.
2. Drugs Used in Anaesthesia. In: WHO Model Prescribing Information, 1989, World Health Organization.
3. Anaesthesia at the District Hospital. In: World Health Organization in collaboration with the World
Federation of Societies of Anesthesiologists, Geneva, 1988, World Health Organization."
